TimeSeries ID,pod/network/received_bytes_count.k8s_pod.ALIGN_RATE.REDUCE_NONE.metric.type="kubernetes.io/pod/network/received_bytes_count" resource.type="k8s_pod" resource.labels.cluster_name="online-boutique" AND resource.labels.project_id="cnae-422614" AND resource.labels.location="us-central1" AND resource.labels.namespace_name="default" AND metadata.system_labels.service_name="frontend-external".cluster_name:online-boutique.location:us-central1.namespace_name:default.pod_name:frontend-6ccf88564c-svq69.project_id:cnae-422614
location,us-central1
pod_name,frontend-6ccf88564c-svq69
cluster_name,online-boutique
project_id,cnae-422614
namespace_name,default
Wed Jun 19 2024 04:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),19543.964512717328
Wed Jun 19 2024 04:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),18254.470573637485
Wed Jun 19 2024 04:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),19225.801639998357
Wed Jun 19 2024 04:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),20047.809505130055
Wed Jun 19 2024 04:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),19730.906235392493
Wed Jun 19 2024 04:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),20506.05824474454
Wed Jun 19 2024 04:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),18937.50414592147
Wed Jun 19 2024 05:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),19535.732488673133
Wed Jun 19 2024 05:05:00 GMT+0200 (Mitteleuropäische Sommerzeit),11919.096297005019
Wed Jun 19 2024 05:10:00 GMT+0200 (Mitteleuropäische Sommerzeit),11523.534311269523
Wed Jun 19 2024 05:15:00 GMT+0200 (Mitteleuropäische Sommerzeit),11909.970290400983
Wed Jun 19 2024 05:20:00 GMT+0200 (Mitteleuropäische Sommerzeit),11786.97388157328
Wed Jun 19 2024 05:25:00 GMT+0200 (Mitteleuropäische Sommerzeit),12135.712300459545
Wed Jun 19 2024 05:30:00 GMT+0200 (Mitteleuropäische Sommerzeit),11274.8994737343
Wed Jun 19 2024 05:35:00 GMT+0200 (Mitteleuropäische Sommerzeit),11679.327415383657
Wed Jun 19 2024 05:40:00 GMT+0200 (Mitteleuropäische Sommerzeit),11750.976286166113
Wed Jun 19 2024 05:45:00 GMT+0200 (Mitteleuropäische Sommerzeit),11987.290188605786
Wed Jun 19 2024 05:50:00 GMT+0200 (Mitteleuropäische Sommerzeit),12253.187762042682
Wed Jun 19 2024 05:55:00 GMT+0200 (Mitteleuropäische Sommerzeit),11357.596104770104
Wed Jun 19 2024 06:00:00 GMT+0200 (Mitteleuropäische Sommerzeit),12123.812062710127
